Date,Symbols,Close,High,Low,Open,Volume
2020-07-15,AMZN,3008.87,3098.35,2973.1801,3080.23,5788874
2020-07-15,GOOGL,1516.88,1536.33,1497.83,1523.23,1551325
2020-07-15,FB,240.28,244.82,238.05,241.55,19133562
2020-07-15,PFE,35.014,35.289,34.769,35.279,25450240
2020-07-14,AMZN,3084.0,3127.38,2950.0,3089.0,7231933
2020-07-14,GOOGL,1520.86,1522.8,1485.925,1492.79,1905400
2020-07-14,FB,239.73,240.33,232.03,236.76,23378056
2020-07-14,PFE,34.534,34.72,34.19,34.671,31799264
2020-07-13,AMZN,3104.0,3344.29,3068.3901,3251.06,7720420
2020-07-13,GOOGL,1512.23,1576.36,1506.56,1549.94,2147728
2020-07-13,FB,239.0,250.15,238.42,247.005,24674874
